image_urls,station_url,genre,images,name
http://resources.live24.gr/resources/images/stations/f213b8fb-7c3e-4146-9695-f3c77e40acb9.jpg,/radio/generic.jsp?sid=142,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/f213b8fb-7c3e-4146-9695-f3c77e40acb9.jpg', 'checksum': '96d5e8cd4aae65cc8eba218bc8f96dd4', 'path': 'full/c174d4104ff21655dbc6e431d17daf9bded79347.jpg'}]",Ράδιο Κιβωτός 87.8
http://resources.live24.gr/resources/images/stations/b89ef320-33ab-4987-bfb7-8892b2ee54d9.png,/radio/generic.jsp?sid=2506,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/b89ef320-33ab-4987-bfb7-8892b2ee54d9.png', 'checksum': '0ad7b60b1f452801de403a74f41534bb', 'path': 'full/8574d2b7659ceff2989999f29de3a69fe6d3d3e1.jpg'}]",Ράδιο Πήλιο 93.4
http://resources.live24.gr/resources/images/stations/3f3df66a-c19e-4e95-8df2-4c2437a55a16.jpg,/radio/generic.jsp?sid=1418,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/3f3df66a-c19e-4e95-8df2-4c2437a55a16.jpg', 'checksum': 'f5c8e126831b2523ab0846c43741a0f0', 'path': 'full/f8473623102ed3af364a6b89d03f08dc473e1009.jpg'}]",Χρώμα 88.2
http://resources.live24.gr/resources/images/stations/260cfdf3-e636-4089-95f3-60724fa2ef5f.png,/radio/generic.jsp?sid=201,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/260cfdf3-e636-4089-95f3-60724fa2ef5f.png', 'checksum': 'ac2b9556801227428929eb21edb4af84', 'path': 'full/9164e1dcd8aecd01c92dbef0a29d3e17ca55e636.jpg'}]",Astra FM 97.3
http://resources.live24.gr/resources/images/stations/047cb4a0-073c-4d9b-abd2-0e6f4bca5120.jpg,/radio/generic.jsp?sid=355,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/047cb4a0-073c-4d9b-abd2-0e6f4bca5120.jpg', 'checksum': '114225bc12bbb7f2a2607ba4e7816634', 'path': 'full/e5035ce62d00fe110fadd80e179d71227a973132.jpg'}]",Ράδιο Ρωμαίος 94.0
http://resources.live24.gr/resources/images/stations/fabab4e9-e7eb-4295-858b-e43beb4f6afa.gif,/radio/generic.jsp?sid=225,Ειδήσεις / Αθλητικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/fabab4e9-e7eb-4295-858b-e43beb4f6afa.gif', 'checksum': '41ed7377d18680384d630ff6ce85b55c', 'path': 'full/86bc45fbd2d1aef49804cb31bec21ba8332c4928.jpg'}]",Radio Σταγών 87.6
http://resources.live24.gr/resources/images/stations/206457ea-c20b-49c0-b3ab-f28edd97d49d.png,/radio/generic.jsp?sid=190,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/206457ea-c20b-49c0-b3ab-f28edd97d49d.png', 'checksum': 'd67dd9b486f11b6d14ceb75797e4e047', 'path': 'full/97b79a02d7abca184b17fc27d890092ea8a778da.jpg'}]",Σφαίρα Θεσσαλίας 90.7
http://resources.live24.gr/resources/images/stations/a5c686ea-0714-4407-b517-35d7a540e31a.jpg,/radio/generic.jsp?sid=2382,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/a5c686ea-0714-4407-b517-35d7a540e31a.jpg', 'checksum': '5136189558b06fa002fdfa2000e5e459', 'path': 'full/bb332c156b39745ad84d87ee7af2b8f6d47893ff.jpg'}]",Ράδιο Κατεργάρης 91.2
http://resources.live24.gr/resources/images/stations/c39713e9-6f2a-4223-83f0-a4cffd2528d0.jpg,/radio/generic.jsp?sid=1529,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/c39713e9-6f2a-4223-83f0-a4cffd2528d0.jpg', 'checksum': '7f49f5980d643519655985f45c2a5034', 'path': 'full/e3e2bba88c5d2ca0a45013f2611ac5261fdf9272.jpg'}]",Ράδιο Έβρος 97.1
http://resources.live24.gr/resources/images/stations/b9b8a917-8d12-4d6a-ad89-daa698db7d85.jpg,/radio/generic.jsp?sid=166,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/b9b8a917-8d12-4d6a-ad89-daa698db7d85.jpg', 'checksum': 'a18c50567836fdca524dacf203dc0d04', 'path': 'full/58fce0cd95f5a55291d5ac798b5b5ac30e11ff94.jpg'}]",Ραδιοφωνία Κισσάβου 97.8
http://resources.live24.gr/resources/images/stations/53dd2173-6cf6-4a49-925a-5d5dd1be6639.png,/radio/generic.jsp?sid=171,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/53dd2173-6cf6-4a49-925a-5d5dd1be6639.png', 'checksum': '53b89b12c93a3fa04bf80fd34e6e2977', 'path': 'full/e6535f9adeed6ef56bd42660a78fc17eb6f45f86.jpg'}]",Σφαίρα Θεσσαλίας 101.6
http://resources.live24.gr/resources/images/stations/b1785376-518b-46a0-9578-df65c529629f.jpg,/radio/generic.jsp?sid=168,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/b1785376-518b-46a0-9578-df65c529629f.jpg', 'checksum': 'c1bc5ffadeb20025dda8cb647a55f625', 'path': 'full/a22236e67476431c878621b7ccbb14bf6ea86b74.jpg'}]",Ρυθμός FM 98.8
