station_url,genre,name,images,image_urls
/radio/generic.jsp?sid=2285,Λαϊκά,106.5 RadioIn ,"[{'path': 'full/644b19302fa67a39d5decac75fc925ed0eba03c9.jpg', 'checksum': '708c8bc7f9bf039ce349d2976b86278d', 'url': 'http://resources.live24.gr/resources/images/stations/e1ba74ff-1c9f-4701-bbb8-b7e22d82eaee.png'}]",http://resources.live24.gr/resources/images/stations/e1ba74ff-1c9f-4701-bbb8-b7e22d82eaee.png
/radio/generic.jsp?sid=2595,Διεθνής Μουσική,Athens Party ,"[{'path': 'full/f062233d419dc75ec717435c50c44ea8ee6bb9bd.jpg', 'checksum': '20375f07904740e4175db9fdd41c0eb1', 'url': 'http://resources.live24.gr/resources/images/stations/0512dc28-bc89-4ee0-b272-5993c7f8a8d8.png'}]",http://resources.live24.gr/resources/images/stations/0512dc28-bc89-4ee0-b272-5993c7f8a8d8.png
/radio/generic.jsp?sid=2927,Διάφορα Ελληνικά,ArtFM Radio ,"[{'path': 'full/eda28c63a3938299a293c5caacbca293cc10d97a.jpg', 'checksum': '7610e279f8e15533415822f548580137', 'url': 'http://resources.live24.gr/resources/images/stations/0db18c17-4d17-4464-a375-ba2870eba634.png'}]",http://resources.live24.gr/resources/images/stations/0db18c17-4d17-4464-a375-ba2870eba634.png
/radio/generic.jsp?sid=2559,Διεθνής Μουσική,Athens Metro Mall Radio ,"[{'path': 'full/291fda6d67e4f10e6fd6c98950e2b3ae6c3f3bee.jpg', 'checksum': '273b5ace4c8766e499c34dd6be696b89', 'url': 'http://resources.live24.gr/resources/images/stations/37d146e6-dbf3-4d0a-b5bd-0e6f125703a3.png'}]",http://resources.live24.gr/resources/images/stations/37d146e6-dbf3-4d0a-b5bd-0e6f125703a3.png
/radio/jukebox.jsp,Διεθνής Μουσική,Athens Jukebox Radio ,"[{'path': 'full/d1359a79052871ceb96bfe0aba7363a6355b7ab1.jpg', 'checksum': '847cb49cd6e9851b2457fc6d4d2d67e8', 'url': 'http://resources.live24.gr/resources/images/stations/0e3aea04-d178-4835-98e8-a9bfb983a957.png'}]",http://resources.live24.gr/resources/images/stations/0e3aea04-d178-4835-98e8-a9bfb983a957.png
/radio/generic.jsp?sid=2259,Διεθνής Μουσική,Athens JoCkey Radio ,"[{'path': 'full/31355a9201bb5056df15f0b50c1dc5a53edbdd52.jpg', 'checksum': '3e0b1840c9cf369819748e87c885f109', 'url': 'http://resources.live24.gr/resources/images/stations/f33113a6-0873-408c-aadf-209c5ae8b564.png'}]",http://resources.live24.gr/resources/images/stations/f33113a6-0873-408c-aadf-209c5ae8b564.png
/radio/generic.jsp?sid=2861,Διεθνής Μουσική,Aroto Instrumental Radio ,"[{'path': 'full/bd3f1e63b0cee44c1a004e1d2353360db2243f30.jpg', 'checksum': 'ec1f61ce55da023994d1fb2679783efd', 'url': 'http://resources.live24.gr/resources/images/stations/cb840c3e-3cb3-4c35-918f-411f3c73e636.png'}]",http://resources.live24.gr/resources/images/stations/cb840c3e-3cb3-4c35-918f-411f3c73e636.png
/radio/generic.jsp?sid=2970,Διεθνής Μουσική,Athens Jazz Radio ,"[{'path': 'full/0b21451def4ee5df17d0428e805c2836521b4ce0.jpg', 'checksum': 'd997dea3a761cb0228d3b93eef49c053', 'url': 'http://resources.live24.gr/resources/images/stations/5f50ab14-a35f-49c5-b2b0-5df8d93f5a3f.jpg'}]",http://resources.live24.gr/resources/images/stations/5f50ab14-a35f-49c5-b2b0-5df8d93f5a3f.jpg
/radio/generic.jsp?sid=1629,'Εντεχνα,Arty ,"[{'path': 'full/71e0248a256ac7d0526b8e8039f0aea5c1bd0b7c.jpg', 'checksum': '0159ea189f3f97ba292ea16ce9e7bce4', 'url': 'http://resources.live24.gr/resources/images/stations/3230c197-a3be-4305-a2ee-c1547045aafc.jpg'}]",http://resources.live24.gr/resources/images/stations/3230c197-a3be-4305-a2ee-c1547045aafc.jpg
/radio/generic.jsp?sid=2029,'Εντεχνα,Artnoise Jazz Radio ,"[{'path': 'full/51e8eb3e939f723afd11c522b590bf0896096a98.jpg', 'checksum': 'f27fbdb2e6d7f7ef73eeee9df35d3c04', 'url': 'http://resources.live24.gr/resources/images/stations/85f80756-29e0-469b-af10-842317302b48.png'}]",http://resources.live24.gr/resources/images/stations/85f80756-29e0-469b-af10-842317302b48.png
